"LEST_Y","LEST_X"
703749.5,6430249.5
703249.5,6590249.5
703249.5,6588749.5
703249.5,6586749.5
703249.5,6445749.5
703249.5,6445249.5
702749.5,6591749.5
702749.5,6588749.5
702749.5,6587249.5
702749.5,6586749.5
702749.5,6447249.5
702749.5,6445249.5
702749.5,6444749.5
702749.5,6430249.5
702249.5,6590249.5
702249.5,6587749.5
702249.5,6567749.5
702249.5,6567249.5
702249.5,6461749.5
702249.5,6449749.5
702249.5,6442749.5
701749.5,6444749.5
701749.5,6442249.5
701749.5,6432249.5
701749.5,6430249.5
701249.5,6591249.5
701249.5,6587749.5
701249.5,6569249.5
701249.5,6459249.5
701249.5,6393749.5
700749.5,6592249.5
700749.5,6575749.5
700749.5,6573749.5
700749.5,6572749.5
700749.5,6444749.5
700749.5,6441749.5
700749.5,6403749.5
700249.5,6591749.5
700249.5,6587249.5
700249.5,6575749.5
700249.5,6575249.5
700249.5,6574749.5
700249.5,6571749.5
700249.5,6570749.5
700249.5,6437749.5
700249.5,6430249.5
699749.5,6591749.5
699749.5,6590749.5
699749.5,6576249.5
699749.5,6568249.5
699749.5,6546249.5
699749.5,6444749.5
699749.5,6437249.5
699749.5,6403749.5
699249.5,6592249.5
699249.5,6591749.5
699249.5,6589749.5
699249.5,6587749.5
699249.5,6586749.5
699249.5,6580249.5
699249.5,6579249.5
699249.5,6578249.5
699249.5,6577249.5
699249.5,6436249.5
699249.5,6430749.5
699249.5,6402749.5
699249.5,6394749.5
699249.5,6394249.5
699249.5,6393249.5
698749.5,6592749.5
698749.5,6588749.5
698749.5,6581249.5
698749.5,6578249.5
698749.5,6546249.5
698749.5,6445249.5
698749.5,6435249.5
698749.5,6396749.5
698749.5,6392749.5
698249.5,6586749.5
698249.5,6582249.5
698249.5,6434749.5
698249.5,6434249.5
698249.5,6430749.5
698249.5,6402249.5
698249.5,6400749.5
698249.5,6399749.5
698249.5,6397749.5
697749.5,6586249.5
697749.5,6578749.5
697749.5,6444749.5
697749.5,6434249.5
697749.5,6433749.5
697749.5,6401749.5
697749.5,6392249.5
697249.5,6602249.5
697249.5,6584749.5
697249.5,6583749.5
697249.5,6582749.5
697249.5,6579249.5
697249.5,6546749.5
697249.5,6443749.5
697249.5,6432749.5
697249.5,6431249.5
697249.5,6402749.5
696749.5,6593249.5
696749.5,6585749.5
696749.5,6585249.5
696749.5,6584749.5
696749.5,6583249.5
696749.5,6579749.5
696749.5,6432249.5
696749.5,6403749.5
696749.5,6392249.5
696249.5,6585749.5
696249.5,6585249.5
696249.5,6584749.5
696249.5,6580249.5
696249.5,6579749.5
696249.5,6546749.5
696249.5,6443749.5
696249.5,6432249.5
696249.5,6431249.5
696249.5,6404249.5
695749.5,6593749.5
695749.5,6585749.5
695749.5,6585249.5
695749.5,6584249.5
695749.5,6583749.5
695749.5,6580249.5
695749.5,6547249.5
695749.5,6444749.5
695749.5,6431749.5
695749.5,6403749.5
695749.5,6391749.5
695249.5,6585249.5
695249.5,6584749.5
695249.5,6584249.5
695249.5,6583249.5
695249.5,6581749.5
695249.5,6581249.5
695249.5,6580749.5
695249.5,6580249.5
695249.5,6459749.5
695249.5,6430749.5
695249.5,6430249.5
695249.5,6404249.5
695249.5,6403749.5
695249.5,6390749.5
694749.5,6594249.5
694749.5,6585749.5
694749.5,6585249.5
694749.5,6584749.5
694749.5,6584249.5
694749.5,6583749.5
694749.5,6583249.5
694749.5,6582749.5
694749.5,6582249.5
